MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
3/14/2022 8:14:04,31,4.28,0,1,Poke,Left,0,1,0,nan
3/14/2022 8:14:05,31,4.29,0,1,Poke,Left,1,1,0,nan
3/14/2022 8:16:00,31,4.29,1,1,Pellet,Left,1,1,1,19
3/14/2022 8:16:11,31,4.28,0,1,Poke,Left,1,2,1,nan
3/14/2022 8:18:03,31,4.28,0,1,Poke,Left,1,3,1,nan
3/14/2022 8:18:11,31,4.28,0,1,Poke,Left,2,3,1,nan
3/14/2022 8:18:25,31,4.27,3,1,Pellet,Left,2,3,2,2
3/14/2022 8:18:54,31,4.28,0,1,Poke,Left,2,4,2,nan
3/14/2022 8:21:31,31,4.28,0,1,Poke,Left,3,4,2,nan
3/14/2022 8:21:45,31,4.28,2,1,Pellet,Left,3,4,3,6
3/14/2022 8:22:37,31,4.29,0,1,Poke,Left,3,5,3,nan
3/14/2022 8:22:51,31,4.28,0,1,Poke,Left,3,6,3,nan
3/14/2022 8:23:07,31,4.29,0,1,Poke,Left,3,7,3,nan
3/14/2022 8:23:13,31,4.28,0,1,Poke,Left,4,7,3,nan
3/14/2022 8:23:20,31,4.28,1,1,Pellet,Left,4,7,4,2
3/14/2022 8:24:59,31,4.28,0,1,Poke,Left,5,7,4,nan
3/14/2022 8:25:05,31,4.28,1,1,Pellet,Left,5,7,5,1
3/14/2022 8:25:54,31,4.27,0,1,Poke,Left,6,7,5,nan
3/14/2022 8:26:02,31,4.27,1,1,Pellet,Left,6,7,6,3
3/14/2022 8:26:32,31,4.28,0,1,Poke,Left,6,8,6,nan
3/14/2022 8:27:08,31,4.28,0,1,Poke,Left,6,9,6,nan
3/14/2022 8:27:10,31,4.28,0,1,Poke,Left,7,9,6,nan
3/14/2022 8:27:26,31,4.28,2,1,Pellet,Left,7,9,7,6
3/14/2022 8:28:37,31,4.28,0,1,Poke,Left,7,10,7,nan
3/14/2022 8:31:04,31,4.28,0,1,Poke,Left,7,11,7,nan
3/14/2022 8:31:06,31,4.27,0,1,Poke,Left,8,11,7,nan
3/14/2022 8:32:09,31,4.27,2,1,Pellet,Left,8,11,8,52
3/14/2022 8:34:53,31,4.27,0,1,Poke,Left,9,11,8,nan
3/14/2022 8:41:48,31,4.28,1,1,Pellet,Left,9,11,9,18
3/14/2022 8:44:14,31,4.27,0,1,Poke,Left,9,12,9,nan
3/14/2022 8:45:24,31,4.27,0,1,Poke,Left,10,12,9,nan
3/14/2022 8:45:36,31,4.27,2,1,Pellet,Left,10,12,10,3
