MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
3/14/2022 9:29:59,27,4.20,0,1,Poke,Left,0,1,0,nan
3/14/2022 9:30:00,27,4.20,0,1,Poke,Left,1,1,0,nan
3/14/2022 9:31:01,27,4.20,1,1,Pellet,Left,1,1,1,16
3/14/2022 9:32:20,27,4.20,0,1,Poke,Left,1,2,1,nan
3/14/2022 9:32:22,27,4.20,0,1,Poke,Left,2,2,1,nan
3/14/2022 9:32:34,27,4.20,2,1,Pellet,Left,2,2,2,2
3/14/2022 9:33:47,27,4.20,0,1,Poke,Left,2,3,2,nan
3/14/2022 9:33:50,27,4.20,0,1,Poke,Left,2,4,2,nan
3/14/2022 9:35:40,27,4.20,0,1,Poke,Left,2,5,2,nan
3/14/2022 9:35:42,27,4.20,0,1,Poke,Left,2,6,2,nan
3/14/2022 9:36:07,27,4.20,0,1,Poke,Left,3,6,2,nan
3/14/2022 9:36:13,27,4.20,1,1,Pellet,Left,3,6,3,2
3/14/2022 9:36:48,27,4.20,0,1,Poke,Left,4,6,3,nan
3/14/2022 9:36:55,27,4.20,1,1,Pellet,Left,4,6,4,2
3/14/2022 9:39:58,27,4.20,0,1,Poke,Left,5,6,4,nan
3/14/2022 9:40:07,27,4.19,1,1,Pellet,Left,5,6,5,4
3/14/2022 9:42:39,27,4.20,0,1,Poke,Left,6,6,5,nan
3/14/2022 9:42:49,27,4.20,1,1,Pellet,Left,6,6,6,5
3/14/2022 9:45:37,27,4.20,0,1,Poke,Left,6,7,6,nan
3/14/2022 9:45:47,27,4.20,0,1,Poke,Left,7,7,6,nan
3/14/2022 9:45:53,27,4.20,1,1,Pellet,Left,7,7,7,1
3/14/2022 9:46:12,27,4.20,0,1,Poke,Left,7,8,7,nan
3/14/2022 9:47:29,27,4.20,0,1,Poke,Left,8,8,7,nan
3/14/2022 9:48:06,27,4.20,1,1,Pellet,Left,8,8,8,2
3/14/2022 9:48:59,27,4.20,0,1,Poke,Left,8,9,8,nan
3/14/2022 9:49:33,27,4.19,0,1,Poke,Left,9,9,8,nan
3/14/2022 9:49:45,27,4.20,1,1,Pellet,Left,9,9,9,7
3/14/2022 9:52:00,27,4.20,0,1,Poke,Left,10,9,9,nan
3/14/2022 9:52:20,27,4.20,1,1,Pellet,Left,10,9,10,4
3/14/2022 9:55:43,27,4.20,0,1,Poke,Left,11,9,10,nan
3/14/2022 9:56:19,27,4.19,1,1,Pellet,Left,11,9,11,29
3/14/2022 9:58:57,27,4.20,0,1,Poke,Left,12,9,11,nan
3/14/2022 9:59:03,27,4.20,1,1,Pellet,Left,12,9,12,1
3/14/2022 9:59:33,27,4.20,0,1,Poke,Left,12,10,12,nan
3/14/2022 9:59:34,27,4.20,0,1,Poke,Left,12,11,12,nan
3/14/2022 9:59:36,27,4.20,0,1,Poke,Left,12,12,12,nan
3/14/2022 9:59:43,27,4.19,0,1,Poke,Left,12,13,12,nan
3/14/2022 9:59:48,27,4.20,0,1,Poke,Left,13,13,12,nan
3/14/2022 9:59:55,27,4.19,1,1,Pellet,Left,13,13,13,2
3/14/2022 10:01:42,27,4.20,0,1,Poke,Left,13,14,13,nan
3/14/2022 10:02:14,27,4.20,0,1,Poke,Left,13,15,13,nan
3/14/2022 10:02:22,27,4.20,0,1,Poke,Left,14,15,13,nan
3/14/2022 10:02:37,27,4.20,4,1,Pellet,Left,14,15,14,1
