MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
3/26/2022 9:30:24,25,4.09,0,FR3_reversed,Poke,Right,0,1,0,nan
3/26/2022 9:30:24,25,4.10,0,FR3_reversed,Poke,Right,1,1,0,nan
3/26/2022 9:31:03,25,4.10,0,FR3_reversed,Poke,Right,1,2,0,nan
3/26/2022 9:31:54,25,4.09,0,FR3_reversed,Poke,Right,1,3,0,nan
3/26/2022 9:32:15,25,4.09,2,FR3_reversed,Pellet,Right,1,3,1,11
3/26/2022 9:34:36,25,4.09,0,FR3_reversed,Poke,Right,1,4,1,nan
3/26/2022 9:34:38,25,4.09,0,FR3_reversed,Poke,Right,2,4,1,nan
3/26/2022 9:34:43,25,4.09,0,FR3_reversed,Poke,Right,3,4,1,nan
3/26/2022 9:34:47,25,4.10,0,FR3_reversed,Poke,Right,3,5,1,nan
3/26/2022 9:34:50,25,4.09,0,FR3_reversed,Poke,Right,3,6,1,nan
3/26/2022 9:35:10,25,4.09,2,FR3_reversed,Pellet,Right,3,6,2,11
3/26/2022 9:38:06,25,4.09,0,FR3_reversed,Poke,Right,3,7,2,nan
3/26/2022 9:38:36,25,4.09,0,FR3_reversed,Poke,Right,3,8,2,nan
3/26/2022 9:38:39,25,4.10,0,FR3_reversed,Poke,Right,3,9,2,nan
3/26/2022 9:39:00,25,4.09,2,FR3_reversed,Pellet,Right,3,9,3,11
3/26/2022 9:40:23,25,4.09,0,FR3_reversed,Poke,Right,3,10,3,nan
3/26/2022 9:45:36,25,4.09,0,FR3_reversed,Poke,Right,3,11,3,nan
3/26/2022 9:45:38,25,4.09,0,FR3_reversed,Poke,Right,3,12,3,nan
3/26/2022 9:46:04,25,4.09,2,FR3_reversed,Pellet,Right,3,12,4,16
3/26/2022 9:46:29,25,4.09,0,FR3_reversed,Poke,Right,3,13,4,nan
3/26/2022 9:46:38,25,4.10,0,FR3_reversed,Poke,Right,3,14,4,nan
3/26/2022 9:48:23,25,4.09,0,FR3_reversed,Poke,Right,4,14,4,nan
3/26/2022 9:49:48,25,4.09,0,FR3_reversed,Poke,Right,4,15,4,nan
3/26/2022 9:50:14,25,4.09,2,FR3_reversed,Pellet,Right,4,15,5,16
3/26/2022 9:50:36,25,4.09,0,FR3_reversed,Poke,Right,4,16,5,nan
3/26/2022 9:50:45,25,4.09,0,FR3_reversed,Poke,Right,4,17,5,nan
3/26/2022 9:50:47,25,4.09,0,FR3_reversed,Poke,Right,4,18,5,nan
3/26/2022 9:51:11,25,4.09,2,FR3_reversed,Pellet,Right,4,18,6,14
3/26/2022 9:59:39,25,4.09,0,FR3_reversed,Poke,Right,4,19,6,nan
