MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
3/26/2022 9:26:13,39,3.73,0,FR3_reversed,Poke,Right,0,1,0,nan
3/26/2022 9:26:14,39,3.73,0,FR3_reversed,Poke,Right,1,1,0,nan
3/26/2022 9:28:38,39,3.73,0,FR3_reversed,Poke,Right,2,1,0,nan
3/26/2022 9:28:57,39,3.73,0,FR3_reversed,Poke,Right,2,2,0,nan
3/26/2022 9:28:59,39,3.73,0,FR3_reversed,Poke,Right,2,3,0,nan
3/26/2022 9:29:10,39,3.73,2,FR3_reversed,Pellet,Right,2,3,1,1
3/26/2022 9:30:30,39,3.73,0,FR3_reversed,Poke,Right,3,3,1,nan
3/26/2022 9:31:31,39,3.73,0,FR3_reversed,Poke,Right,4,3,1,nan
3/26/2022 9:32:16,39,3.73,0,FR3_reversed,Poke,Right,5,3,1,nan
3/26/2022 9:32:34,39,3.73,0,FR3_reversed,Poke,Right,5,4,1,nan
3/26/2022 9:33:33,39,3.73,0,FR3_reversed,Poke,Right,5,5,1,nan
3/26/2022 9:33:34,39,3.73,0,FR3_reversed,Poke,Right,5,6,1,nan
3/26/2022 9:33:45,39,3.73,2,FR3_reversed,Pellet,Right,5,6,2,2
3/26/2022 9:36:38,39,3.73,0,FR3_reversed,Poke,Right,5,7,2,nan
3/26/2022 9:36:43,39,3.73,0,FR3_reversed,Poke,Right,5,8,2,nan
3/26/2022 9:36:45,39,3.73,0,FR3_reversed,Poke,Right,5,9,2,nan
3/26/2022 9:36:57,39,3.73,2,FR3_reversed,Pellet,Right,5,9,3,3
3/26/2022 9:39:58,39,3.73,0,FR3_reversed,Poke,Right,5,10,3,nan
3/26/2022 9:40:00,39,3.73,0,FR3_reversed,Poke,Right,5,11,3,nan
3/26/2022 9:40:02,39,3.73,0,FR3_reversed,Poke,Right,5,12,3,nan
3/26/2022 9:40:15,39,3.73,2,FR3_reversed,Pellet,Right,5,12,4,7
3/26/2022 9:41:02,39,3.73,0,FR3_reversed,Poke,Right,6,12,4,nan
3/26/2022 9:42:00,39,3.73,0,FR3_reversed,Poke,Right,6,13,4,nan
3/26/2022 9:43:01,39,3.73,0,FR3_reversed,Poke,Right,7,13,4,nan
3/26/2022 9:43:04,39,3.73,0,FR3_reversed,Poke,Right,8,13,4,nan
3/26/2022 9:43:07,39,3.73,0,FR3_reversed,Poke,Right,9,13,4,nan
3/26/2022 9:47:42,39,3.73,0,FR3_reversed,Poke,Right,9,14,4,nan
3/26/2022 9:47:45,39,3.73,0,FR3_reversed,Poke,Right,9,15,4,nan
3/26/2022 9:47:56,39,3.73,2,FR3_reversed,Pellet,Right,9,15,5,3
3/26/2022 9:51:44,39,3.72,0,FR3_reversed,Poke,Right,10,15,5,nan
3/26/2022 9:58:54,39,3.73,0,FR3_reversed,Poke,Right,11,15,5,nan
3/26/2022 9:59:13,39,3.73,0,FR3_reversed,Poke,Right,12,15,5,nan
3/26/2022 9:59:17,39,3.73,0,FR3_reversed,Poke,Right,12,16,5,nan
3/26/2022 9:59:19,39,3.72,0,FR3_reversed,Poke,Right,12,17,5,nan
